parish,county
Fiskebäckskil,Västra Götalands
Fittja,Uppsala
Fivelstad,Östergötlands
Fivlered,Skaraborgs
Fjälkestad,Kristianstads
Fjälkinge,Kristianstads
Fjällbacka kbfd,Västra Götalands
Fjällsjö,Jämtlands
Fjärås,Hallands
Fjärestad,Skåne
Fjelie,Skåne
Fjelkestad med Råbelöv,Kristianstads
Flackarp,Skåne
Fläckebo,Västmanlands
Flädie,Skåne
Flakeberg,Skaraborgs
Flemingsberg,Stockholms
Flen,Södermanlands
Fleninge,Skåne
Fleringe,Gotlands
Flisby,Jönköpings
Fliseryd,Kalmar
Flistad,Skaraborgs
Flistad,Östergötlands
Flittorp,Skaraborgs
Flo,Skaraborgs
Floby,Skaraborgs
Floda,Dalarnas
Floda,Södermanlands
Flyinge,Skåne
Flymen,Blekinge
Fogdö,Södermanlands
Fole,Gotlands
Fölene,Älvsborgs
Folkärna,Dalarnas
Folkärna kbfd,Dalarnas
Follingbo,Gotlands
Föllinge,Jämtlands
Föra,Kalmar
Förkärla,Blekinge
Förlanda,Hallands
Förlösa,Kalmar
Fornåsa,Östergötlands
Fors,Älvsborgs
Fors,Jämtlands
Forsa,Gävleborgs
Forsby,Skaraborgs
Forserum,Jönköpings
Forshaga,Värmlands
Forshälla,Västra Götalands
Forsheda,Jönköpings
Forshem,Skaraborgs
Förslöv,Kristianstads
Forsmark,Uppsala
Forssa,Södermanlands
Första artilleriregementet,Stockholms
Första Svea artilleriregemente,Stockholms
Fosie,Skåne
Foss,Västra Götalands
Fotskäl,Älvsborgs
Främmestad,Skaraborgs
Frändefors,Älvsborgs
Fränninge,Skåne
Fransk-katolska,Stockholms
Fransk-lutherska,Stockholms
Fransk-reformerta,Stockholms
Fredrika,Västerbottens
Fredsberg,Skaraborgs
Fresta,Stockholms
Fridene,Skaraborgs
Fridhem,Skaraborgs
Fridhem,Kalmar
Fridlevstad,Blekinge
Friel,Skaraborgs
Friggeråker,Skaraborgs
Frillesås,Hallands
Frillestad,Skåne
Frimurarebarnhuset,Stockholms
Frinnaryd,Jönköpings
Frisholmens kastellförsamling,Blekinge
Fristad,Älvsborgs
Fritsla,Älvsborgs
Fröderyd,Jönköpings
Frödinge,Kalmar
Fröjel,Gotlands
Fröjered,Skaraborgs
Frök,Västernorrlands
Fröskog,Älvsborgs
Fröslunda,Uppsala
Frösö,Jämtlands
Frösthult,Uppsala
Frostviken,Jämtlands
Frostvikens lappförsamling,Jämtlands
Frösunda,Stockholms
Frösve,Skaraborgs
Frötuna,Stockholms
Fru Alstad,Skåne
Frustuna-Kattnäs,Södermanlands
Fryele,Jönköpings
Frykerud,Värmlands
Fryksände,Värmlands
Fuglie,Skåne
Fullestad,Älvsborgs
Fullösa,Skaraborgs
Fulltofta,Skåne
Funbo,Uppsala
Furby,Västmanlands
Furingstad,Östergötlands
Furuby,Kronobergs
Fuxerna,Älvsborgs
Fyrunga,Skaraborgs
Gagnef,Dalarnas
Gäldstugan och stadens häkten,Stockholms
Gällared,Hallands
Gällaryd,Jönköpings
Gällersta,Örebro
Gällinge,Hallands
Gällivare,Norrbottens
Gällivare kbfd,Norrbottens
Gällstad,Älvsborgs
Gålsjö,Västernorrlands
Galtströms bruksförsamling,Västernorrlands
Gamla Uppsala,Uppsala
Gamleby,Kalmar
Gamlestads kbfd,Västra Götalands
Gammalkil,Östergötlands
Gammalstorp,Blekinge
Gammelgarn,Gotlands
Gann,Gotlands
Ganthem,Gotlands
Gärarp,Kristianstads
Gårdby,Kalmar
Garde,Gotlands
Gårdeby,Östergötlands
Gärdhem,Älvsborgs
Gårdsby,Kronobergs
Gärdserum,Östergötlands
Gärdslösa,Kalmar
Gärdslöv,Skåne
Gårdstånga,Skåne
Gårdveda,Kalmar
Gårdveda kbfd,Kalmar
Gargnäs,Västerbottens
Gargnäs kbfd,Västerbottens
Garn,Stockholms
Garn,Gotlands
Garpenberg,Dalarnas
Gärsnäs,Kristianstads
Gåsborn,Värmlands
Gåsinge-Dillnäs,Södermanlands
Gävle Heliga Trefaldighet,Gävleborgs
Gävle hospitalsförsamling,Gävleborgs
Gävle Maria,Gävleborgs
Gävle romersk-katolska,Gävleborgs
Gävle Staffan,Gävleborgs
Gävle Tomas,Gävleborgs
Gåxsjö,Jämtlands
Genarp,Skåne
Genneved,Älvsborgs
Gerum,Gotlands
Gesäter,Älvsborgs
Gessie,Skåne
Gestad,Älvsborgs
Getinge,Hallands
Gideå,Västernorrlands
Gillberga,Värmlands
Gillberga,Södermanlands
